device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
589571718,6514470902427,"(0.35536688566207886, 0.23351025581359863)","(-55.415958404541016, 222.90806579589844, 70.49011993408203)",1,2.0320587158203125,1,"(-79.88876342773438, 5.459016799926758, 599.35400390625)","(0.6819570660591125, 0.481851190328598, 0.3515962064266205)",1,"(0.3388897180557251, 0.23638202250003815)","(-64.15129089355469, 222.1033172607422, 70.19723510742188)",1,2.0869140625,1,"(-17.020774841308594, 9.39387321472168, 600.9077758789062)","(0.5396637916564941, 0.47227197885513306, 0.34435439109802246)",1
589580051,6514470910760,"(0.3533979654312134, 0.22979305684566498)","(-56.45976257324219, 223.94970703125, 70.86927032470703)",1,2.03240966796875,1,"(-79.89215087890625, 5.463253974914551, 599.383544921875)","(0.6819546222686768, 0.4818434417247772, 0.3516610860824585)",1,"(0.341789186000824, 0.2412506341934204)","(-62.61415481567383, 220.739013671875, 69.70063781738281)",1,2.0842742919921875,1,"(-17.020172119140625, 9.406009674072266, 600.9281005859375)","(0.5396611094474792, 0.4722462594509125, 0.3443993628025055)",1
589588384,6514470919093,"(0.3545660376548767, 0.2266433984041214)","(-55.84051513671875, 224.83233642578125, 71.19048309326172)",1,2.028900146484375,1,"(-79.88947296142578, 5.46816349029541, 599.31201171875)","(0.6819732189178467, 0.48182833194732666, 0.35150638222694397)",1,"(0.3387494385242462, 0.24056856334209442)","(-64.22567749023438, 220.93014526367188, 69.77022552490234)",1,2.07330322265625,1,"(-17.021650314331055, 9.414827346801758, 600.8778686523438)","(0.5396682620048523, 0.4722228944301605, 0.34429097175598145)",1
589596718,6514470927427,"(0.3494715392589569, 0.22776035964488983)","(-58.54136276245117, 224.5193328857422, 71.07659149169922)",1,2.0192108154296875,1,"(-79.88836669921875, 5.4673590660095215, 599.2816162109375)","(0.681981086730957, 0.48182833194732666, 0.35144054889678955)",1,"(0.3407246768474579, 0.24564562737941742)","(-63.17851638793945, 219.5074462890625, 69.25238800048828)",1,2.0771636962890625,1,"(-17.024259567260742, 9.424087524414062, 600.907958984375)","(0.5396720170974731, 0.47220438718795776, 0.34435704350471497)",1
589605051,6514470935760,"(0.35509029030799866, 0.22876989841461182)","(-55.56258773803711, 224.23643493652344, 70.9736099243164)",1,2.022857666015625,1,"(-79.8995590209961, 5.465932369232178, 599.3096923828125)","(0.6819966435432434, 0.4818333685398102, 0.3515041172504425)",1,"(0.3375246822834015, 0.23937678337097168)","(-64.87496185302734, 221.26409912109375, 69.89178466796875)",1,2.0779266357421875,1,"(-17.024734497070312, 9.420524597167969, 600.8876953125)","(0.5396745800971985, 0.47221094369888306, 0.344312846660614)",1
589613385,6514470944094,"(0.3509870171546936, 0.22908584773540497)","(-57.737937927246094, 224.14788818359375, 70.9413833618164)",1,2.0428924560546875,1,"(-79.9014663696289, 5.46431827545166, 599.319580078125)","(0.681997537612915, 0.48183757066726685, 0.3515258729457855)",1,"(0.34084245562553406, 0.23939940333366394)","(-63.11604309082031, 221.25778198242188, 69.88946533203125)",1,2.0711822509765625,1,"(-17.02444076538086, 9.411018371582031, 600.828125)","(0.539678156375885, 0.4722278118133545, 0.3441828191280365)",1
589621718,6514470952427,"(0.3528940975666046, 0.2274765819311142)","(-56.72688674926758, 224.59884643554688, 71.10550689697266)",1,2.0265960693359375,1,"(-79.90094757080078, 5.457571983337402, 599.2994384765625)","(0.6820032000541687, 0.4818515181541443, 0.35148197412490845)",1,"(0.34084805846214294, 0.2432529181241989)","(-63.11310958862305, 220.17794799804688, 69.49641418457031)",1,2.074981689453125,1,"(-17.023677825927734, 9.397717475891113, 600.8076782226562)","(0.5396777987480164, 0.4722560942173004, 0.34413743019104004)",1
589630051,6514470960760,"(0.352521151304245, 0.2314843386411667)","(-56.92461395263672, 223.4757843017578, 70.69674682617188)",1,2.02587890625,1,"(-79.90721130371094, 5.452836036682129, 599.3388671875)","(0.6820036768913269, 0.48186448216438293, 0.35156846046447754)",1,"(0.3406291902065277, 0.2410389631986618)","(-63.229129791259766, 220.79833984375, 69.72225189208984)",1,2.094085693359375,1,"(-17.021085739135742, 9.384966850280762, 600.8174438476562)","(0.539671003818512, 0.47228533029556274, 0.3441576063632965)",1
589638385,6514470969094,"(0.3523947298526764, 0.230862095952034)","(-56.991615295410156, 223.650146484375, 70.76022338867188)",1,2.037750244140625,1,"(-79.91371154785156, 5.450644493103027, 599.3988647460938)","(0.6819977164268494, 0.48187291622161865, 0.35169944167137146)",1,"(0.3405257761478424, 0.2343863844871521)","(-63.28394317626953, 222.66256713867188, 70.4007568359375)",1,2.0909271240234375,1,"(-17.014223098754883, 9.370747566223145, 600.77783203125)","(0.53965824842453, 0.47231414914131165, 0.34407004714012146)",1
589646718,6514470977427,"(0.3512822389602661, 0.2362678498029709)","(-57.581424713134766, 222.1353302001953, 70.20886993408203)",1,2.024566650390625,1,"(-79.91324615478516, 5.449529647827148, 599.3785400390625)","(0.6820036172866821, 0.4818742275238037, 0.351655513048172)",1,"(0.33963990211486816, 0.2363704890012741)","(-63.75358200073242, 222.10655212402344, 70.1983642578125)",1,2.075714111328125,1,"(-17.011009216308594, 9.364179611206055, 600.767822265625)","(0.5396515727043152, 0.4723280668258667, 0.34404775500297546)",1
589655051,6514470985760,"(0.3522217869758606, 0.2349020093679428)","(-57.08332824707031, 222.51806640625, 70.34817504882812)",1,2.0407562255859375,1,"(-79.90737915039062, 5.449311256408691, 599.359375)","(0.6819969415664673, 0.4818735420703888, 0.35161250829696655)",1,"(0.33678269386291504, 0.23459820449352264)","(-65.2683334350586, 222.6031951904297, 70.37915802001953)",1,2.09075927734375,1,"(-17.007728576660156, 9.364876747131348, 600.7581787109375)","(0.5396449565887451, 0.47232580184936523, 0.344026654958725)",1
589663385,6514470994094,"(0.3542141318321228, 0.23482610285282135)","(-56.027076721191406, 222.53933715820312, 70.35591125488281)",1,2.0343475341796875,1,"(-79.89771270751953, 5.449593544006348, 599.320556640625)","(0.681988537311554, 0.4818705916404724, 0.351526141166687)",1,"(0.33954936265945435, 0.2372177392244339)","(-63.801605224609375, 221.869140625, 70.11199951171875)",1,2.0797119140625,1,"(-17.001710891723633, 9.369720458984375, 600.7686767578125)","(0.539630651473999, 0.47231563925743103, 0.344049334526062)",1
