device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
589488380,6514470819089,"(0.31406912207603455, 0.2308729737997055)","(-77.30990600585938, 223.64707946777344, 70.75912475585938)",1,2.0171661376953125,1,"(-79.95857238769531, 5.449544429779053, 599.4901123046875)","(0.6820674538612366, 0.48188117146492004, 0.351908802986145)",1,"(0.30820950865745544, 0.23431846499443054)","(-80.41638946533203, 222.6815643310547, 70.40769958496094)",1,2.06671142578125,1,"(-17.121971130371094, 9.345573425292969, 600.802001953125)","(0.5398999452590942, 0.47237375378608704, 0.344127357006073)",1
589496714,6514470827423,"(0.312872052192688, 0.22999531030654907)","(-77.94454956054688, 223.89305114746094, 70.8486099243164)",1,2.0259246826171875,1,"(-79.96597290039062, 5.448267936706543, 599.447021484375)","(0.682098925113678, 0.481881707906723, 0.35181790590286255)",1,"(0.30490779876708984, 0.2322852909564972)","(-82.16678619384766, 223.25132751464844, 70.61505126953125)",1,2.0495452880859375,1,"(-17.135242462158203, 9.34766960144043, 600.781494140625)","(0.5399315357208252, 0.4723677933216095, 0.34408384561538696)",1
589505047,6514470835756,"(0.3121914863586426, 0.22946326434612274)","(-78.30535888671875, 224.04214477539062, 70.90286254882812)",1,2.007110595703125,1,"(-79.98126220703125, 5.447319984436035, 599.422119140625)","(0.682141900062561, 0.48188260197639465, 0.3517685532569885)",1,"(0.3025735020637512, 0.23434016108512878)","(-83.4043197631836, 222.67552185058594, 70.40547180175781)",1,2.08282470703125,1,"(-17.146392822265625, 9.352664947509766, 600.801025390625)","(0.5399553775787354, 0.4723581373691559, 0.34412723779678345)",1
589513380,6514470844089,"(0.31136706471443176, 0.22874706983566284)","(-78.742431640625, 224.24282836914062, 70.97594451904297)",1,2.0249481201171875,1,"(-79.99466705322266, 5.44638204574585, 599.3977661132812)","(0.6821803450584412, 0.48188352584838867, 0.35171985626220703)",1,"(0.30458152294158936, 0.23215094208717346)","(-82.33975219726562, 223.2889862060547, 70.62873077392578)",1,2.0551300048828125,1,"(-17.15509033203125, 9.354898452758789, 600.8204345703125)","(0.5399736762046814, 0.4723546802997589, 0.34417009353637695)",1
589521714,6514470852423,"(0.31370559334754944, 0.23126521706581116)","(-77.5026626586914, 223.53721618652344, 70.71907043457031)",1,2.0181427001953125,1,"(-80.00820922851562, 5.446959018707275, 599.4254150390625)","(0.6822013854980469, 0.4818840026855469, 0.35178327560424805)",1,"(0.3054291605949402, 0.23340553045272827)","(-81.89038848876953, 222.93740844726562, 70.50081634521484)",1,2.0618133544921875,1,"(-17.164569854736328, 9.351838111877441, 600.7800903320312)","(0.5399979948997498, 0.4723587930202484, 0.344082772731781)",1
589530047,6514470860756,"(0.3232276737689972, 0.23712469637393951)","(-72.45452880859375, 221.89520263671875, 70.12147521972656)",1,2.0322723388671875,1,"(-79.96046447753906, 5.447711944580078, 599.3869018554688)","(0.6821070909500122, 0.48187941312789917, 0.35168683528900146)",1,"(0.3144094944000244, 0.23263488709926605)","(-77.12947845458984, 223.15335083007812, 70.57941436767578)",1,2.0867462158203125,1,"(-17.13935089111328, 9.351505279541016, 600.80126953125)","(0.5399394631385803, 0.4723607003688812, 0.34412723779678345)",1
589538380,6514470869089,"(0.34309864044189453, 0.2395557463169098)","(-61.91994094848633, 221.21395874023438, 69.87352752685547)",1,2.0157318115234375,1,"(-79.89903259277344, 5.450608253479004, 599.474609375)","(0.6819387674331665, 0.4818771183490753, 0.351858526468277)",1,"(0.3337465524673462, 0.2353978157043457)","(-66.87793731689453, 222.37911987304688, 70.29759216308594)",1,2.08746337890625,1,"(-17.05536651611328, 9.345378875732422, 600.9349365234375)","(0.5397394299507141, 0.47238296270370483, 0.3444119691848755)",1
589546714,6514470877423,"(0.35711434483528137, 0.23593968152999878)","(-54.48950958251953, 222.227294921875, 70.2423095703125)",1,2.0323028564453125,1,"(-79.84666442871094, 5.449571132659912, 599.30322265625)","(0.6818795204162598, 0.4818689525127411, 0.35147425532341003)",1,"(0.33970046043395996, 0.2329365760087967)","(-63.72149658203125, 223.06881713867188, 70.54863739013672)",1,2.0805816650390625,1,"(-16.997791290283203, 9.34486198425293, 600.8480224609375)","(0.5396155118942261, 0.4723770022392273, 0.34421971440315247)",1
589555047,6514470885756,"(0.35191723704338074, 0.23312881588935852)","(-57.244781494140625, 223.0149688720703, 70.52900695800781)",1,2.0464935302734375,1,"(-79.85846710205078, 5.455550670623779, 599.310302734375)","(0.6819037795066833, 0.481856107711792, 0.351493239402771)",1,"(0.3350568413734436, 0.2314644604921341)","(-66.18331909179688, 223.48133850097656, 70.69880676269531)",1,2.058868408203125,1,"(-16.999420166015625, 9.353264808654785, 600.83837890625)","(0.5396199822425842, 0.47235751152038574, 0.34419941902160645)",1
589563385,6514470894094,"(0.3531762361526489, 0.23224066197872162)","(-56.57731628417969, 223.26382446289062, 70.61962127685547)",1,2.026519775390625,1,"(-79.88594055175781, 5.458422660827637, 599.3753662109375)","(0.6819433569908142, 0.48185375332832336, 0.35164132714271545)",1,"(0.3395584523677826, 0.23562964797019958)","(-63.79677200317383, 222.31417846679688, 70.2739486694336)",1,2.0875244140625,1,"(-17.014062881469727, 9.372488021850586, 600.8578491210938)","(0.5396519899368286, 0.47231611609458923, 0.34424397349357605)",1
